NR90	spc	sample	cpm	data	FMT_group	name	prot
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_3-911	9.55301	shotgun_metagenomics	FMT_grp_3	donor	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_4-913	1.67732	shotgun_metagenomics	FMT_grp_4	donor	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_5-915	4.61646	shotgun_metagenomics	FMT_grp_5	donor	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_6-955	12.1801	shotgun_metagenomics	FMT_grp_6	donor	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_6-955	12.1801	shotgun_metagenomics	FMT_grp_8	donor	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_7-983	11.1461	shotgun_metagenomics	FMT_grp_7	donor	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	HD_8-964	6.87133	shotgun_metagenomics	FMT_grp_9	donor	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_27	0	shotgun_metagenomics	FMT_grp_1	before_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_29	0	shotgun_metagenomics	FMT_grp_2	before_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_31	5.34486	shotgun_metagenomics	FMT_grp_1	after_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_32	0	shotgun_metagenomics	FMT_grp_3	before_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_34	0	shotgun_metagenomics	FMT_grp_4	before_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_35	0	shotgun_metagenomics	FMT_grp_5	before_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_36	2.67802	shotgun_metagenomics	FMT_grp_3	after_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_39	16.0038	shotgun_metagenomics	FMT_grp_2	after_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_40	3.03523	shotgun_metagenomics	FMT_grp_4	after_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_41	8.04964	shotgun_metagenomics	FMT_grp_5	after_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_45	0	shotgun_metagenomics	FMT_grp_7	before_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_46	0	shotgun_metagenomics	FMT_grp_6	before_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_48	0	shotgun_metagenomics	FMT_grp_9	before_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_51	0	shotgun_metagenomics	FMT_grp_10	before_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_52	5.71899	shotgun_metagenomics	FMT_grp_6	after_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_53	5.21181	shotgun_metagenomics	FMT_grp_8	after_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_54	0	shotgun_metagenomics	FMT_grp_11	before_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_56	8.35596	shotgun_metagenomics	FMT_grp_10	after_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_57	9.52104	shotgun_metagenomics	FMT_grp_7	after_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_58	6.37064	shotgun_metagenomics	FMT_grp_9	after_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Cosmic_60	0.988029	shotgun_metagenomics	FMT_grp_11	after_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	HD_1-892	1.17981	shotgun_metagenomics	FMT_grp_1	donor	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	HD_11-821	1.0269	shotgun_metagenomics	FMT_grp_10	donor	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	HD_12-1052	0	shotgun_metagenomics	FMT_grp_11	donor	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	HD_2-901	0	shotgun_metagenomics	FMT_grp_2	donor	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	HD_3-911	0	shotgun_metagenomics	FMT_grp_3	donor	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	HD_4-913	0	shotgun_metagenomics	FMT_grp_4	donor	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	HD_5-915	0	shotgun_metagenomics	FMT_grp_5	donor	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	HD_6-955	0.17752	shotgun_metagenomics	FMT_grp_6	donor	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	HD_6-955	0.17752	shotgun_metagenomics	FMT_grp_8	donor	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	HD_7-983	0	shotgun_metagenomics	FMT_grp_7	donor	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	HD_8-964	0	shotgun_metagenomics	FMT_grp_9	donor	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	Cosmic_27	0	shotgun_metagenomics	FMT_grp_1	before_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	Cosmic_29	0	shotgun_metagenomics	FMT_grp_2	before_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	Cosmic_31	0	shotgun_metagenomics	FMT_grp_1	after_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	Cosmic_32	0	shotgun_metagenomics	FMT_grp_3	before_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	Cosmic_34	0	shotgun_metagenomics	FMT_grp_4	before_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	Cosmic_35	0	shotgun_metagenomics	FMT_grp_5	before_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	Cosmic_36	0	shotgun_metagenomics	FMT_grp_3	after_FMT	Proline Transport protein
UniRef90_A0A2A6ZC87	unclassified	Cosmic_39	0	shotgun_metagenomics	FMT_grp_2	after_FMT	Proline Transport protein
