clade	HD_1-892	HD_11-821	HD_12-1052	HD_2-901	HD_3-911	HD_4-913	HD_5-915	HD_6-955	HD_7-983	HD_8-964	Cosmic_27	Cosmic_29	Cosmic_31	Cosmic_32	Cosmic_34	Cosmic_35	Cosmic_36	Cosmic_39	Cosmic_40	Cosmic_41	Cosmic_45	Cosmic_46	Cosmic_48	Cosmic_51	Cosmic_52	Cosmic_53	Cosmic_54	Cosmic_56	Cosmic_57	Cosmic_58	Cosmic_60
k__Bacteria|p__Firmicutes|c__CFGB3023	0.01067	0.00743	0.00064	0.01167	0.0025	0	0.00101	0.03749	0	0	0	0	0.01529	0	0	0	0	0.01292	0.03661	0.04881	0	0	0	0	0.01315	0.00604	0	0	0	0.03808	0.00312
k__Bacteria|p__Firmicutes|c__CFGB1359	0.00945	0	0	0	0.02293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2932	0.00922	0	0	0	0.01474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB30328	0.00867	0	0	0	0	0	0	0.00195	0	0	0	0	0.00116	0	0	0	0	0	0	0	0	0	0	0	0	0.00031	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB24517	0.00809	0	0	0	0.00843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB52309	0.0075	0	0	0	0.01154	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2950	0.00592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2106	0.00588	0	0	0	0	0	0	0.00108	0	0	0	0	0.22405	0	0	0	1.33995	0	0	0	0	0	0	0	0	0.16749	0	0	0.00069	0	0
k__Bacteria|p__Firmicutes|c__CFGB77202	0.00524	0	0	0.00325	0.00114	0	0.00068	0.00243	0	0	0	0	0	0	0	0	0	0	0	0.00752	0	0	0	0	0	0	0	0.0047	0	0.00802	0.04203
k__Bacteria|p__Firmicutes|c__CFGB2881	0.00452	0.00254	0	0.00378	0	0	0	0.01869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00207	0	0	0	0	0
