clade	HD_1-892	HD_11-821	HD_12-1052	HD_2-901	HD_3-911	HD_4-913	HD_5-915	HD_6-955	HD_7-983	HD_8-964	Cosmic_27	Cosmic_29	Cosmic_31	Cosmic_32	Cosmic_34	Cosmic_35	Cosmic_36	Cosmic_39	Cosmic_40	Cosmic_41	Cosmic_45	Cosmic_46	Cosmic_48	Cosmic_51	Cosmic_52	Cosmic_53	Cosmic_54	Cosmic_56	Cosmic_57	Cosmic_58	Cosmic_60
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	0	0	0.04964	0	0	0.07572	0.07518	1.59387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22516	0	0	0	2.36632	4.68595
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae	0	0	0.03028	0	0.00881	0.00019	0	0	0.18827	0.12882	0	0	0	0	0	0	0	0	0	0.0062	0	0	0	0	0	0	0	0.17099	0	0.03011	0
k__Bacteria|p__Firmicutes|c__CFGB9491|o__OFGB9491|f__FGB9491	0	0	0.00927	0	0	0.00071	0.00584	0	0	0.0036	0	0	0	0	0	0	0	0	0.00823	0.00205	0	0	0	0	0	0	0	0	0	0.01616	0.01633
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0	0	0.00847	0.00155	0	0.00054	0	0	0.00955	0.01301	0	0.02153	0	0	0	0	0.00876	0	0	0	0	0	0.00028	0	0	0	0	0.03605	0	0	0.00066
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	0	0	0.00794	0	0	0	0.01881	0	0	0	0	0	0	0	0	0	0	0	4.63249	0.1883	0	0	0	0	0	0	0	0	0.01706	0.19846	0.17618
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified	0	0	0.00716	0	0	0.00124	0.00158	0	0.00014	0.02587	0	0.00101	0	0	0	0	0.00819	0	0	0	0	0	0	0	0	0	0	0	0.00211	0	0.00101
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae	0	0	0.00499	0	0	0	0	0	0	0.00496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14697	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__GGB3277	0	0	1.927	0	0	2.59851	2.59125	0	3.04027	0.65776	0	0	0	0	0	0	0	0	0.00149	0.6342	0	0	0	0	0	0	0	0	1.55157	0.49464	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Evtepia	0	0	1.17456	0	0	1.15099	1.52874	0	0.91531	0.24665	0	0	0	0	0	0	0	0	0.22727	0.23132	0	0	0	0	0	0	0	0	0.51498	0.3153	0.85426
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Senegalimassilia	0	0	0.97274	0	0	0.95004	1.25275	0.10878	1.27736	1.91141	0	0	0	0	0	0	0	0	0.17908	0.11866	0	0	0	0	0.15397	0.12708	0	0	0.25888	0.22974	1.33447
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354|f__FGB1354|g__GGB3304	0	0	0.80148	0	0	2.23985	1.12959	0.09552	0.08167	0	0	0	0	0	0	0	0	0	0	0.34792	0	0	0	0	0	0.02617	0	0	0	1.20921	0.49759
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wujia	0	0	0.38193	0	0	0.07501	0.47375	0	0.31876	0.01363	0	0	0	0	0	0	0	0	6.7267	2.56959	0	0	0	0	0	0	0	0	0	5.6314	1.46404
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992|f__FGB2992|g__GGB9411	0	0	0.37296	0	0	0.41822	0.40526	0	0.18584	0.05789	0	0	0	0	0	0	0	0	0	0.06851	0	0	0	0	0	0	0	0	0	0.16907	0.00268
k__Bacteria|p__Actinobacteria|c__CFGB77156|o__OFGB77156|f__FGB77156|g__GGB9421	0	0	0.29	0	0	0.16169	0.27932	0	0.28646	0.06641	0	0	0	0	0	0	0	0	0	0.00416	0	0	0	0	0	0	0	0	0	0.16144	0.39189
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia	0	0	0.19402	0	0	0.15516	0.13801	0	0.09473	0.14912	0	0	0	0	0	0	0	0	0.00778	0.01628	0	0	0	0.00172	0	0	0	0	0.04999	0.08998	0.04346
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella	0	0	0.14617	0	0	0.08856	0.0902	0	0.10544	0.24153	0	0	0	0	0	0	0	0	4.74512	26.65097	0	0	0	0	0	0	0	0	16.65145	7.08218	0.087
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster	0	0	0.08861	0.00171	0	0.00101	0.0272	0	0.07583	0.02181	0	17.47447	0.09274	0	0	0	0.19619	0.00505	0.14836	0.11336	0	0	2.08285	0.00134	0.04039	0.05042	0.00136	0.03515	0.72657	0.04097	0.28174
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter	0	0	0.08739	0	0	0.08955	0.11488	0	0.01883	0.00176	0	0	0.04846	0	0	0	0.03553	0	0.00756	0.00164	0	0	0	0	0	0	0	0	0	0	0.32104
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	0	0	0.04964	0	0	0.07572	0.07518	1.59387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22516	0	0	0	2.36632	4.68595
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae|g__Turicibacter	0	0	0.03028	0	0.00881	0.00019	0	0	0.18827	0.12882	0	0	0	0	0	0	0	0	0	0.0062	0	0	0	0	0	0	0	0.17099	0	0.03011	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus	0	0	0.0266	0	0	0	0.01483	0	0.02607	0.02199	0	0	0	9.23688	0	0	0	0	0	0.00137	0	0	0	0	0	0	0	0	4.10377	0	0
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227|g__GGB3005	0	0	0.016	0.00157	0	0.01197	0.0395	0.00569	0.01121	0	0	0	0.03958	0	0	0	0	0	0	0.02159	0	0	0	0	0.01921	0.01262	0	0.03154	0	0.05604	0.01992
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Bittarella	0	0	0.01452	0	0	0.00958	0.00971	0	0.00288	0	0	0	0.00505	0	0	0	0.02313	0	0	0.00277	0	0	0	0	0	0	0	0	0	0.00245	0.00388
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus	0	0	0.01408	0	0.06561	0	0	0	0	0.16452	0	0	0	0	0.03199	0	0.01027	0	0	0	0	0	0	0.00705	0	0	0	0	0	0	0.03223
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Raoultibacter	0	0	0.0115	0	0	0.0046	0.00446	0.00028	0.00072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00566	0.01258
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae|g__Christensenella	0	0	0.01009	0	0	0.05462	0.03868	0.01011	0.00722	0	0	0	0	0	0	0	0	0	0.00582	0.01139	0	0	0	0	0.00075	0	0	0	0	0.02036	0.05346
k__Bacteria|p__Firmicutes|c__CFGB9491|o__OFGB9491|f__FGB9491|g__GGB9491	0	0	0.00927	0	0	0.00071	0.00584	0	0	0.0036	0	0	0	0	0	0	0	0	0.00823	0.00205	0	0	0	0	0	0	0	0	0	0.01616	0.01633
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992|f__FGB2992|g__GGB9412	0	0	0.00796	0	0	0.00654	0.01048	0	0.00143	0	0	0	0	0	0	0	0	0	0.09298	0.00402	0	0	0	0	0	0	0	0	0	0	0.13198
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella	0	0	0.00716	0	0	0.00124	0.00158	0	0.00014	0.02587	0	0.00101	0	0	0	0	0.00819	0	0	0	0	0	0	0	0	0	0	0	0.00211	0	0.00101
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Fumia	0	0	0.00682	0	0	0.0053	0.0116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00129	0.0003
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB1550	0	0	0.0059	0	0	0	0.00974	0	0	0	0	0	0	0	0	0	0	0	4.35182	0.06476	0	0	0	0	0	0	0	0	0	0	0.15954
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella	0	0	0.00569	0.00155	0	0.00054	0	0	0.00955	0.01301	0	0.02153	0	0	0	0	0.00876	0	0	0	0	0	0.00028	0	0	0	0	0.00675	0	0	0.00066
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	0	0	0.00499	0	0	0	0	0	0	0.00496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14697	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae|g__GGB45656	0	0	0.00303	0	0	0.01227	0.00118	0	0	0	0	0	0	0	0	0	0	0	0.00426	0.01059	0	0	0	0	0	0	0	0	0	0.03144	0.0418
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium	0	0	0.00278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0293	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB1567	0	0	0.00203	0	0	0	0.00907	0	0	0	0	0	0	0	0	0	0	0	0.28068	0.12355	0	0	0	0	0	0	0	0	0.01706	0.19846	0.01664
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Neobittarella	0	0	0.00182	0	0	0.00052	0.0031	0.00169	0.00209	0	0	0	0	0	0	0	0.00538	0	0.00437	0.001	0	0	0	0	0.00764	0.00452	0	0	0.02506	0.0025	0.0071
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3593	0	0	0.00178	0	0	0.02312	0.00367	0	0.00424	0.00687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Anaerofustis	0	0	0.00161	0	0	0.0011	0.00352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00012	0	0	0	0	0	0	0.00063	0.00218
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella	0	0	0.00095	0	0	0	0	0.17183	0	0.00793	0	0.00021	0	0	0	0	0.00044	0	0	0	0	0	0	0	0	0.00236	0	0	1.56537	0	0.00407
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Sellimonas	0	0	0.00093	0	0	0.00048	0.00783	0.07956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0255	0.00144	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium	0	0	0.00086	0	0	0	0	0	0	0	0	0.00357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified	0	0	0.00062	0	0	0	0	0	0	0.00134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9708	0	0	0.00025	0	0	0.00058	0.01898	0.39872	0	0	0	0	0	0	0	0	0	0	0.13833	0	0	0	0	0	0.00467	0.08248	0	0	0	0	0.0182
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__GGB3277|s__GGB3277_SGB4327	0	0	1.927	0	0	2.59851	2.59125	0	3.04027	0.65776	0	0	0	0	0	0	0	0	0.00149	0.6342	0	0	0	0	0	0	0	0	1.55157	0.49464	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_hominis	0	0	1.52517	0	0	1.05775	1.47618	0	0.85328	2.12024	0	0	0	0	0	0	0	0	0	2.80965	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	0	0	1.35711	0	0	10.94941	0.17574	5.41466	1.5803	5.07895	0	0	0	0	0	0	0	0	0	0.10936	0	0	0	0	1.57524	0	0	0	0	0	1.02793
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Evtepia|s__Evtepia_gabavorous	0	0	1.17456	0	0	1.15099	1.52874	0	0.91531	0.24665	0	0	0	0	0	0	0	0	0.22727	0.23132	0	0	0	0	0	0	0	0	0.51498	0.3153	0.85426
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Senegalimassilia|s__Senegalimassilia_anaerobia	0	0	0.97274	0	0	0.95004	1.25275	0.10878	1.27736	1.91141	0	0	0	0	0	0	0	0	0.17908	0.11866	0	0	0	0	0.15397	0.12708	0	0	0.25888	0.22974	1.33447
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_callidus	0	0	0.94534	0	0	2.04141	0.91741	0	0.25616	0.07791	0	0	0	0	0	0	0	0	1.26637	1.47398	0	0	0	0	0	0	0	0	0	1.19767	0.0517
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354|f__FGB1354|g__GGB3304|s__GGB3304_SGB4367	0	0	0.80148	0	0	2.23985	1.12959	0.09552	0.08167	0	0	0	0	0	0	0	0	0	0	0.34792	0	0	0	0	0	0.02617	0	0	0	1.20921	0.49759
k__Bacteria|p__Firmicutes|c__CFGB1380|o__OFGB1380|f__FGB1380|g__GGB3363|s__GGB3363_SGB4447	0	0	0.69744	0	0	0.60474	0.28046	0.13236	0.62973	1.69492	0	0	0	0	0	0	0	0	0.23954	0	0	0	0	0	0	0.2074	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9730|s__GGB9730_SGB15291	0	0	0.61574	0	0	0.39897	0.5581	0.02516	0.70278	0.42985	0	0	0	0	0	0	0	0	0.04064	0.16018	0	0	0	0	0.07174	0.29939	0	0	0	0.2666	0.09063
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wujia|s__Wujia_chipingensis	0	0	0.38193	0	0	0.07501	0.47375	0	0.31876	0.01363	0	0	0	0	0	0	0	0	6.7267	2.56959	0	0	0	0	0	0	0	0	0	5.6314	1.46404
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992|f__FGB2992|g__GGB9411|s__GGB9411_SGB14764	0	0	0.37296	0	0	0.41822	0.40526	0	0.18584	0.05789	0	0	0	0	0	0	0	0	0	0.06851	0	0	0	0	0	0	0	0	0	0.16907	0.00268
k__Bacteria|p__Actinobacteria|c__CFGB77156|o__OFGB77156|f__FGB77156|g__GGB9421|s__GGB9421_SGB14789	0	0	0.29	0	0	0.16169	0.27932	0	0.28646	0.06641	0	0	0	0	0	0	0	0	0	0.00416	0	0	0	0	0	0	0	0	0	0.16144	0.39189
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_schinkii	0	0	0.20516	0	0	0.25381	0.32734	0	0.29961	0.39503	0	0	0	0	0	0	0	0	0.06386	0.06595	0	0	0	0	0	0	0	0	0	0.22265	0.258
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia|s__Slackia_isoflavoniconvertens	0	0	0.19402	0	0	0.15516	0.13801	0	0.09473	0.14912	0	0	0	0	0	0	0	0	0.00778	0.01628	0	0	0	0	0	0	0	0	0.04999	0.08998	0.04311
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella|s__Segatella_copri	0	0	0.14617	0	0	0.08856	0.0902	0	0.10544	0.24153	0	0	0	0	0	0	0	0	4.74512	26.65097	0	0	0	0	0	0	0	0	16.65145	7.08218	0.087
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_1001270J_160509_D11	0	0	0.13538	0	0	0	0.00412	0	0.04675	0.01774	0	0	0	0	0	0	0	0	0	0.02166	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_hominis	0	0	0.08861	0	0	0.00101	0.0272	0	0.07583	0.02181	0	0	0	0	0	0	0	0	0.13808	0.10579	0	0	0	0	0	0	0.00136	0	0.47773	0	0.23185
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_urolithinfaciens	0	0	0.08739	0	0	0.08955	0.11488	0	0.01883	0.00176	0	0	0	0	0	0	0	0	0.00756	0.00164	0	0	0	0	0	0	0	0	0	0	0.32104
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Mediterraneibacter_glycyrrhizinilyticus	0	0	0.07741	0	0	0.02122	0.03693	0	0.08065	0.06676	0	0	0	0	0	0	0	0	0.00663	0.00202	0	0	0	0	0.01302	0	0	0	0.05211	0.005	0.00014
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9469|s__GGB9469_SGB14862	0	0	0.06954	0	0	0.11665	0.24094	0	0.10659	0.00557	0	0	0	0	0	0	0	0	0.00799	0.00338	0	0	0	0	0	0	0	0	0	0.00896	0.30985
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__Collinsella_massiliensis	0	0	0.06541	0	0	0.05166	0.03382	0.08797	0.01954	0.01279	0	0	0	0	0	0	0	0	0	0.00169	0	0	0	0	0.0341	0.00087	0	0	0.16618	0.01494	0.02956
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_gelidum	0	0	0.0642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_SGB4961	0	0	0.06043	0	0	0.11471	0.05381	0	0.07922	0.00818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02056	0.03804	0.05163
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_carnosum	0	0	0.05326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	0	0	0.04964	0	0	0.07572	0.07518	1.59387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22516	0	0	0	2.36632	4.68595
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_saudiense	0	0	0.04725	0.00017	0	0.02187	0.09892	0	0.01028	0.01554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94405	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae|g__Turicibacter|s__Turicibacter_bilis	0	0	0.03028	0	0.00881	0.00019	0	0	0.17835	0.12882	0	0	0	0	0	0	0	0	0	0.0062	0	0	0	0	0	0	0	0.01724	0	0.03011	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_AM59_24XD	0	0	0.02988	0	0	0.01925	0.02599	0	0.01148	0	0	0	0	0	0	0	0	0	0	0.56095	0	0	0	0	0	0	0	0	0	0.73512	0.38987
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Jutongia|s__Jutongia_hominis	0	0	0.02984	0	0	0	0.02824	0.03191	0.04003	0.00138	0	0	0	0	0	0	0	0	0	0.02881	0	0	0	0	0	0.05982	0	0	0	0.03986	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_intestini	0	0	0.0266	0	0	0	0.01483	0	0.02607	0.02199	0	0	0	9.23688	0	0	0	0	0	0.00137	0	0	0	0	0	0	0	0	4.10377	0	0
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227|g__GGB3005|s__GGB3005_SGB3996	0	0	0.016	0.00157	0	0.01197	0.0395	0.00569	0.01121	0	0	0	0.03958	0	0	0	0	0	0	0.02159	0	0	0	0	0.01921	0.01262	0	0.03154	0	0.05604	0.01992
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Bittarella|s__Bittarella_massiliensis	0	0	0.01452	0	0	0.00958	0.00971	0	0.00288	0	0	0	0.00505	0	0	0	0.02313	0	0	0.00277	0	0	0	0	0	0	0	0	0	0.00245	0.00388
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus|s__Latilactobacillus_sakei	0	0	0.01408	0	0.06561	0	0	0	0	0.16452	0	0	0	0	0.02704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03223
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Raoultibacter|s__Raoultibacter_massiliensis	0	0	0.0115	0	0	0.0046	0.00446	0.00028	0.00072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00566	0.01258
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis	0	0	0.01015	0	0	0.00668	0.00368	0	0	0	0	0	0.00878	0	0	0	0.01548	0	0.00145	0.0011	0	0	0	0	0.00247	0.00286	0	0	0.00472	0.00675	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae|g__Christensenella|s__Christensenella_minuta	0	0	0.01002	0	0	0.02276	0.03475	0.00214	0.00722	0	0	0	0	0	0	0	0	0	0.00554	0.01053	0	0	0	0	0.00075	0	0	0	0	0.01977	0.0296
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_maltosivorans	0	0	0.00946	0	0	0.05107	0.05171	0	0	0	0	0	0	0	0	0	0	0	0.04113	0	0	0	0	0	0	0	0	0	0.08969	0.01219	0.05874
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0	0	0.00934	0	0	0.73634	0	2.24236	0.63541	0.8238	0	0	0	0	0	0	0	0	0.01097	0.75187	0	0	1.79378	0	1.18826	0	0	0	2.12446	0.96664	1.02529
k__Bacteria|p__Firmicutes|c__CFGB9491|o__OFGB9491|f__FGB9491|g__GGB9491|s__GGB9491_SGB14888	0	0	0.00927	0	0	0.00071	0.00584	0	0	0.0036	0	0	0	0	0	0	0	0	0.00823	0.00205	0	0	0	0	0	0	0	0	0	0.01616	0.01633
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_carnosus	0	0	0.00865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992|f__FGB2992|g__GGB9412|s__GGB9412_SGB14770	0	0	0.00796	0	0	0.00654	0.01048	0	0.00143	0	0	0	0	0	0	0	0	0	0.09298	0.00402	0	0	0	0	0	0	0	0	0	0	0.13198
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_sanguinis	0	0	0.00716	0	0	0.00124	0.00158	0	0.00014	0.02587	0	0.00101	0	0	0	0	0.00819	0	0	0	0	0	0	0	0	0	0	0	0.00211	0	0.00101
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Fumia|s__Fumia_xinanensis	0	0	0.00682	0	0	0.0053	0.0116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00129	0.0003
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_F0442	0	0	0.00611	0	0	0.00796	0	0	0.00244	0.01558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB1550|s__GGB1550_SGB2134	0	0	0.0059	0	0	0	0.00974	0	0	0	0	0	0	0	0	0	0	0	4.35182	0.06476	0	0	0	0	0	0	0	0	0	0	0.15954
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_SGB8255	0	0	0.00569	0.00155	0	0.00054	0	0	0.00955	0.01301	0	0.01233	0	0	0	0	0.00629	0	0	0	0	0	0.00028	0	0	0	0	0.00675	0	0	0.00066
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Oscillospiraceae_unclassified_SGB15257	0	0	0.00533	0	0	0	0.00103	0	0	0	0	0	0	0	0	0	0	0	0.26716	0.05921	0	0	0	0	0	0	0	0	0	0	0.02383
