pathway	HD_1-892	HD_11-821	HD_12-1052	HD_2-901	HD_3_911	HD_4-913	HD_5-915	HD_6-955	HD_7-983	HD_8-964	Cosmic_27	Cosmic_29	Cosmic_31	Cosmic_32	Cosmic_34	Cosmic_35	Cosmic_36	Cosmic_39	Cosmic_40	Cosmic_41	Cosmic_45	Cosmic_46	Cosmic_48	Cosmic_51	Cosmic_52	Cosmic_53	Cosmic_54	Cosmic_56	Cosmic_57	Cosmic_58	Cosmic_60
PWY-5840: superpathway of menaquinol-7 biosynthesis	0	0	6.3051e-6	5.90824e-6	5.79459e-6	1.09155e-5	3.95416e-6	6.99858e-6	8.84751e-6	1.0653e-5	2.56486e-4	6.52606e-5	5.3436e-5	1.68531e-4	2.22691e-4	2.54933e-4	5.70743e-5	4.63446e-6	3.74502e-5	8.51718e-6	2.06079e-4	2.20803e-4	4.69869e-5	2.5374e-4	9.854e-6	2.64246e-5	2.24457e-4	5.25707e-5	1.04688e-5	1.35609e-5	3.60987e-5
PWY-5838: superpathway of menaquinol-8 biosynthesis I	0	0	5.60421e-6	6.24766e-6	5.73928e-6	8.73838e-6	3.68955e-6	7.30496e-6	6.42938e-6	9.61257e-6	2.56486e-4	7.10652e-5	5.51885e-5	1.70335e-4	2.3217e-4	2.16734e-4	6.18606e-5	4.79999e-6	4.15954e-5	1.11556e-5	2.23247e-4	2.21237e-4	1.21215e-4	2.70948e-4	2.52683e-5	3.40572e-5	2.29994e-4	5.84476e-5	1.18265e-5	1.6421e-5	4.11069e-5
PWY-5845: superpathway of menaquinol-9 biosynthesis	0	0	4.51848e-6	5.90734e-6	5.39125e-6	8.73838e-6	0	6.19865e-6	6.42938e-6	0	2.56486e-4	6.52606e-5	5.06511e-5	1.68531e-4	2.22691e-4	2.16734e-4	5.36493e-5	4.79662e-6	1.1388e-5	0	2.06079e-4	2.20803e-4	1.23127e-5	2.5374e-4	2.37175e-5	1.97874e-5	2.24457e-4	5.41213e-5	8.54758e-6	7.05212e-6	1.34145e-5
PWY-5850: superpathway of menaquinol-6 biosynthesis	0	0	4.51848e-6	0	0	8.73838e-6	0	0	6.42938e-6	0	2.56486e-4	6.52606e-5	9.12652e-6	1.68531e-4	2.22691e-4	2.16734e-4	3.28619e-5	0	1.1388e-5	0	2.06079e-4	2.20803e-4	1.02533e-5	2.5374e-4	0	0	2.24457e-4	4.74854e-5	5.31873e-6	7.05212e-6	1.34145e-5
PWY-5896: superpathway of menaquinol-10 biosynthesis	0	0	4.51848e-6	0	0	8.73838e-6	0	0	6.42938e-6	0	2.56486e-4	6.52606e-5	9.12652e-6	1.68531e-4	2.22691e-4	2.16734e-4	3.28619e-5	0	1.1388e-5	0	2.06079e-4	2.20803e-4	1.02533e-5	2.5374e-4	0	0	2.24457e-4	4.74854e-5	5.31873e-6	7.05212e-6	1.34145e-5
P122-PWY: heterolactic fermentation	0	0	4.05929e-6	0	0	0	2.34893e-6	0	0	0	2.08777e-4	3.50213e-5	0	8.32367e-5	1.14966e-4	1.34692e-4	1.61576e-5	0	5.28308e-6	0	1.38347e-4	1.42412e-4	1.06693e-6	1.88817e-4	0	0	1.1331e-4	1.71049e-5	3.99367e-5	0	0
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis I	0	0	3.81678e-6	4.23517e-6	3.88784e-6	6.05745e-6	2.48256e-6	4.93579e-6	4.39696e-6	6.69231e-6	2.73599e-4	6.40028e-5	3.98257e-5	1.97087e-4	2.16771e-4	1.83468e-4	4.63568e-5	3.22101e-6	2.90676e-5	7.55456e-6	2.09784e-4	2.39868e-4	9.37122e-5	2.52226e-4	1.73237e-5	2.39158e-5	2.25082e-4	4.23051e-5	8.00124e-6	1.11986e-5	2.84663e-5
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I	0	0	3.06453e-6	0	0	6.05745e-6	0	0	4.39696e-6	0	2.73599e-4	5.71373e-5	6.16196e-6	1.93492e-4	2.04575e-4	1.83468e-4	2.32724e-5	0	7.68885e-6	0	1.87738e-4	2.39103e-4	6.91611e-6	2.30407e-4	0	0	2.17216e-4	3.38267e-5	3.56928e-6	4.74715e-6	9.0532e-6
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis	0	0	3.06453e-6	4.0008e-6	3.64852e-6	6.05745e-6	0	4.17973e-6	4.39696e-6	0	2.73599e-4	5.71373e-5	3.63053e-5	1.93492e-4	2.04575e-4	1.83468e-4	3.95522e-5	3.21873e-6	7.68885e-6	0	1.87738e-4	2.39103e-4	8.32489e-6	2.30407e-4	1.62323e-5	1.35915e-5	2.17216e-4	3.89267e-5	5.75921e-6	4.74715e-6	9.0532e-6
PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis	0	0	2.84359e-6	1.95882e-6	1.76107e-6	4.0985e-6	1.27072e-6	2.23249e-6	3.17997e-6	3.93954e-6	2.30156e-4	7.01097e-5	1.92606e-5	2.01699e-4	2.20549e-4	2.19915e-4	2.52134e-5	1.43015e-6	1.4055e-5	3.60854e-6	2.05e-4	2.38283e-4	4.62029e-5	2.60985e-4	7.98724e-6	1.16866e-5	3.02677e-4	2.12772e-5	3.61098e-6	5.25419e-6	1.33219e-5
