pathway	HD_1-892	HD_11-821	HD_12-1052	HD_2-901	HD_3_911	HD_4-913	HD_5-915	HD_6-955	HD_7-983	HD_8-964	Cosmic_27	Cosmic_29	Cosmic_31	Cosmic_32	Cosmic_34	Cosmic_35	Cosmic_36	Cosmic_39	Cosmic_40	Cosmic_41	Cosmic_45	Cosmic_46	Cosmic_48	Cosmic_51	Cosmic_52	Cosmic_53	Cosmic_54	Cosmic_56	Cosmic_57	Cosmic_58	Cosmic_60
TCA: TCA cycle I (prokaryotic)	216.363221454	0	170.1589708012	0	0	188.8233909635	0	0	69.543992293	99.2743747655	22564.3286927602	4014.566379897	0	3960.2856908842	22196.4114840502	1533.6470070669	1185.3016124083	0	311.2739717699	257.6445084075	8821.3232457379	23606.5891947268	186.8806138062	12874.3714853142	0	51.0630602335	32525.0527574198	1188.4178896548	0	0	179.7848131479
CENTFERM-PWY: pyruvate fermentation to butanoate	214.4979682054	708.7140120643	2420.2581379646	1498.8164555616	305.5058069574	2099.4804258395	1689.9679102503	2911.6209761355	1171.7431436337	2808.3763616418	88.0272296712	334.1897791713	295.2554726682	0	0	530.4186268061	1255.4451978109	392.4461110615	605.532955743	1159.054046508	152.035272343	27.3853234811	47.2072943857	158.6385762275	620.7429715342	727.3351679702	0	1002.6209670002	757.6825686514	924.7141092069	1236.6399362932
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	211.5988999798	73.7408489585	122.5405756529	85.275136171	88.3184156982	76.3695231202	40.597683502	317.9698709576	0	95.4075787761	289.7457667353	4189.1345436426	0	0	5425.8601775096	3573.3325916112	838.9139227629	52.1787877512	159.9304351951	0	2277.4526731974	4599.6250354322	766.007354082	7882.4602159765	50.3994948831	0	4855.5004556127	1199.6131491763	64.8592146959	401.614648397	164.892984645
GALACTARDEG-PWY: D-galactarate degradation I	205.3531257986	0	133.9846109776	33.8369832072	0	71.2980882429	83.2540706529	48.4742517344	54.2326905458	51.1856696612	21166.9513081038	8374.6715275354	33.4277002863	2768.2883015085	26805.6912572971	4095.3058825722	319.5773349317	109.144871867	292.5859052376	66.1810339629	12221.0926203295	21385.255506366	498.9439594215	17160.9224506664	39.6129611045	65.4686943959	29356.8235364597	755.9541163315	316.0386980898	19.1984248102	127.4131988029
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	205.3531257986	0	133.9846109776	33.8369832072	0	71.2980882429	83.2540706529	48.4742517344	54.2326905458	51.1856696612	21166.9513081038	8374.6715275354	33.4277002863	2768.2883015085	26805.6912572971	4095.3058825722	319.5773349317	109.144871867	292.5859052376	66.1810339629	12221.0926203295	21385.255506366	498.9439594215	17160.9224506664	39.6129611045	65.4686943959	29356.8235364597	755.9541163315	316.0386980898	19.1984248102	127.4131988029
PWY-5981: CDP-diacylglycerol biosynthesis III	202.5822021585	189.3913727114	166.8364899796	99.8475892842	301.9484163682	264.866908044	159.5574742987	746.1971616565	78.070974433	449.3473304507	9041.1254953365	6807.6632484077	126.1968163256	929.9692967471	7839.090913414	6933.8589606715	4914.0197781684	47.893299816	142.4821175268	122.0685040552	2545.5125730008	9599.0230394446	60.579640242	10433.2644247823	27.0321900756	170.9461897004	8587.8281150445	991.0793133599	147.0795234914	1310.4091538119	2564.7402084846
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	202.3280385847	50.7699357611	793.6624380959	73.5781969121	110.6304297406	823.4120776595	775.0576020854	1555.5367337908	414.319884295	351.4214612351	22957.2275267676	7900.479678552	55.2820880168	2599.5509875152	22487.9964687861	8060.1489239733	1698.1830803518	0	350.6378505466	198.7906309924	8319.6826691683	23161.7745527466	294.4858182027	18519.4188385442	1061.0613527514	1442.3501129218	29011.0686144295	1360.3530298401	406.181679836	156.1656229175	284.1221969458
PWY-6167: flavin biosynthesis II (archaea)	201.46396788	260.505652346	0	0	132.5246813531	0	0	424.933070432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	201.1190872848	50.71979706	785.858180857	73.4274736382	110.2023881083	812.6661884147	766.7399809751	1519.4107939235	410.3484301399	350.2191872113	26485.2760090352	7590.909775065	55.3609027291	2960.0059310948	24100.2078414675	8249.1497984353009	1702.6641534365	0	354.5537765736	199.1264721923	8812.2257584589	25607.5597787364	296.2427727256	19197.878601829	1069.2413363766	1452.9550347186	31515.9556133884	1369.3656190754	407.8626538384	156.1278932839	283.7412467925
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	189.3006639056	0	801.1195755365	115.9303446352	51.1289337092	238.2582098473	156.659331479	330.6209001128	57.5548052335	1392.342408577	0	0	0	0	33.367650904	0	1116.7031878316	19.3453910116	218.9528083038	97.099997011	0	0	376.9554918564	497.7462124307	12.3699060044	0	185.3006399189	1136.4393172813	0	45.8518038566	22.2251906147
