measure1	measure2	rho	p	type1	type2	Padj
Dorea_formicigenerans	plasma__Indole.3.Lactic.acid	0.00909090909090909	0.9679721135552566	species_relab	metabolite	0.9865346458520492
Dorea_formicigenerans	plasma__Indole.3.Sulfate	0.3	0.17494720074034736	species_relab	metabolite	0.47697514708285693
Dorea_formicigenerans	plasma__Indole.3.propionic.acid	-0.6272727272727272	0.0017799866871255896	species_relab	metabolite	0.047777600408304116
Dorea_formicigenerans	plasma__Kynurenic.acid	0.05454545454545454	0.8094884819231101	species_relab	metabolite	0.927232261111927
Dorea_formicigenerans	plasma__Propionic.Acid	-0.0909090909090909	0.6874290975505302	species_relab	metabolite	0.8700131691908741
Dorea_formicigenerans	plasma__UDCA	0.24545454545454548	0.27088247222786643	species_relab	metabolite	0.5834803859262576
Dorea_formicigenerans	plasma__Xanthurenic.acid	-0.37272727272727274	0.08756442748854341	species_relab	metabolite	0.34747716332387635
Dorea_formicigenerans	B.cells__PS.ATP	-0.2909090909090909	0.1890281636602324	species_relab	SCENITH_measure	0.4951758390315986
Dorea_formicigenerans	Mono.classical__PS.ATP	0.19090909090909092	0.3947460963891989	species_relab	SCENITH_measure	0.6947932331505116
Dorea_formicigenerans	Mono.intermediate__PS.ATP	0.4272727272727273	0.04732506857435606	species_relab	SCENITH_measure	0.2484566100153693
Dorea_formicigenerans	CD4.Effector.memory__PS.ATP	-0.1	0.6579281751567843	species_relab	SCENITH_measure	0.8528118481925125
Dorea_formicigenerans	CD4.central.memory__PS.ATP	-0.03636363636363636	0.872363416867582	species_relab	SCENITH_measure	0.9519075761210393
Dorea_formicigenerans	CD4.naive__PS.ATP	0.33636363636363636	0.125870574845898	species_relab	SCENITH_measure	0.4131498024119231
Dorea_formicigenerans	CD8.central.memory__PS.ATP	0.3909090909090909	0.07204098085387504	species_relab	SCENITH_measure	0.3122048874639518
Dorea_formicigenerans	CD8.EMRA__PS.ATP	-0.086560589039859	0.7017004410479206	species_relab	SCENITH_measure	0.8793461223258756
Dorea_formicigenerans	Mono.classical__Mitochondrial.dependence	-0.15454545454545454	0.49226347768036927	species_relab	SCENITH_measure	0.7608524919621766
Dorea_formicigenerans	Mono.intermediate__Mitochondrial.dependence	0.6575411015672012	8.825077313303558e-4	species_relab	SCENITH_measure	0.033163364329749735
Dorea_formicigenerans	CD4.naive__Mitochondrial.dependence	-0.40368671387966554	0.06244409603190139	species_relab	SCENITH_measure	0.29127278940385254
Dorea_formicigenerans	CD8.naive__Mitochondrial.dependence	0.19590028045862823	0.38226592902811796	species_relab	SCENITH_measure	0.6873669919158255
Dorea_formicigenerans	Mono.classical__Glucose.dependence	-0.19590028045862823	0.38226592902811796	species_relab	SCENITH_measure	0.6873669919158255
Dorea_formicigenerans	Mono.intermediate__Glucose.dependence	-0.2785417166361061	0.20939279049203974	species_relab	SCENITH_measure	0.5216343927845813
Dorea_formicigenerans	CD4.naive__Glucose.dependence	0.2465779130877005	0.2686255228094397	species_relab	SCENITH_measure	0.5829013266087001
Dorea_formicigenerans	plasma_untarg_2-hydroxyphenylacetate	0.26125574272588054	0.1880777236297936	species_relab	plasma_untarg_metabo	0.4951758390315986
Dorea_formicigenerans	plasma_untarg_deoxycholate	-0.23070598236739026	0.24696201903083742	species_relab	plasma_untarg_metabo	0.5611693739417263
Dorea_formicigenerans	plasma_untarg_guanidinoacetate	0.41615638095891216	0.030841234045443103	species_relab	plasma_untarg_metabo	0.20485782821650766
Dorea_formicigenerans	plasma_untarg_citrulline	0.27411944869831545	0.16646897133763786	species_relab	plasma_untarg_metabo	0.46860892485480554
Dorea_formicigenerans	plasma_untarg_proline	0.5901990811638591	0.0011929052848602903	species_relab	plasma_untarg_metabo	0.03866587255035484
Dorea_formicigenerans	plasma_untarg_urea	-0.2998468606431853	0.12862774902663976	species_relab	plasma_untarg_metabo	0.41867178942360156
Dorea_formicigenerans	plasma_untarg_glycerate	0.1013782542113323	0.6148587851613896	species_relab	plasma_untarg_metabo	0.8350380401363393
Dorea_formicigenerans	plasma_untarg_hippurate	0.08238897396630934	0.682874285516647	species_relab	plasma_untarg_metabo	0.8700131691908741
Dorea_formicigenerans	plasma_untarg_indolelactate	0.13874425727411946	0.49008596364121726	species_relab	plasma_untarg_metabo	0.7608524919621766
Dorea_formicigenerans	plasma_untarg_1-methylguanidine	0.04257274119448698	0.8330104487393282	species_relab	plasma_untarg_metabo	0.9381565417526037
Dorea_formicigenerans	plasma_untarg_threonate	0.29433384379785604	0.13615218342439075	species_relab	plasma_untarg_metabo	0.4293154187268372
Dorea_formicigenerans	plasma_untarg_glycolithocholate	0.17719302540877693	0.37659872144537476	species_relab	plasma_untarg_metabo	0.6827734827476555
Dorea_formicigenerans	plasma_untarg_indolepropionate	-0.01310057433538153	0.9482901887496581	species_relab	plasma_untarg_metabo	0.9834728402224919
Dorea_formicigenerans	plasma_untarg_glycylleucine	0.021461547909868185	0.9153819616484284	species_relab	plasma_untarg_metabo	0.971860263738993
Dorea_formicigenerans	plasma_untarg_phenylacetylglutamine	0.09218989280245023	0.6474255206401984	species_relab	plasma_untarg_metabo	0.8497459958402604
Dorea_formicigenerans	plasma_untarg_homostachydrine*	0.009494640122511486	0.9625116156820142	species_relab	plasma_untarg_metabo	0.9865346458520492
Dorea_formicigenerans	plasma_untarg_3-hydroxyhippurate	-0.11435861923545178	0.570051528118587	species_relab	plasma_untarg_metabo	0.8082817329819888
Dorea_formicigenerans	plasma_untarg_isoursodeoxycholate	0.3196528671355407	0.10409038881929174	species_relab	plasma_untarg_metabo	0.3791118174722699
Dorea_formicigenerans	plasma_untarg_glycoursodeoxycholate	0.2748277899976581	0.16533231893147587	species_relab	plasma_untarg_metabo	0.46678824711653355
Dorea_formicigenerans	plasma_untarg_2-piperidinone	-0.13568147013782544	0.4998079521404115	species_relab	plasma_untarg_metabo	0.7675334446346408
Dorea_formicigenerans	plasma_untarg_N-formylphenylalanine	0.06401225114854517	0.7510889120237535	species_relab	plasma_untarg_metabo	0.9030837186683079
Dorea_formicigenerans	plasma_untarg_acesulfame	-0.03295655643426845	0.8703703543106756	species_relab	plasma_untarg_metabo	0.9519075761210393
Dorea_formicigenerans	feces_untarg_alpha-ketoglutarate	0.39670555936856555	0.04480086861510473	species_relab	feces_untarg_metabo	0.2437628447126986
Dorea_formicigenerans	feces_untarg_5,6-dihydrothymine	0.1194221409753129	0.5611908696310324	species_relab	feces_untarg_metabo	0.8047080945213977
Dorea_formicigenerans	feces_untarg_hypoxanthine	0.20247083047357584	0.32122116826368996	species_relab	feces_untarg_metabo	0.6328945375223852
Dorea_formicigenerans	feces_untarg_creatinine	0.05284831846259437	0.7976416012380931	species_relab	feces_untarg_metabo	0.9232344254840551
Dorea_formicigenerans	feces_untarg_deoxycholate	-0.04813794567795433	0.8153579642331757	species_relab	feces_untarg_metabo	0.9308647482935356
Dorea_formicigenerans	feces_untarg_sphinganine	0.002745367192862045	0.9893803176796268	species_relab	feces_untarg_metabo	0.9982853953238643
Dorea_formicigenerans	feces_untarg_glycocholate	0.11530542210020589	0.5748621455080047	species_relab	feces_untarg_metabo	0.8097143634899334
Dorea_formicigenerans	feces_untarg_guanidinoacetate	-0.23953328757721346	0.2385693876455777	species_relab	feces_untarg_metabo	0.5523255695118923
Dorea_formicigenerans	feces_untarg_proline	0.14824982841455045	0.46982730503119374	species_relab	feces_untarg_metabo	0.7464555119326365
Dorea_formicigenerans	feces_untarg_2'-deoxyuridine	0.2923816060398078	0.14721710152022208	species_relab	feces_untarg_metabo	0.44469371656125356
Dorea_formicigenerans	feces_untarg_betaine	-0.025394646533973917	0.9019970599567863	species_relab	feces_untarg_metabo	0.9651315686003394
