sample	bodysite	Malic Acid	Glucose	Lactic acid	Itaconic Acid	Succinic Acid	Fumaric Acid	Citric Acid	Isocitric Acid	Aconitic Acid	Ketoglutaric Acid	Picolinic acid	Quinolinic acid	3-OH-Kynurenine	Serotonine	5-OH-Tryptophane	Kynurenine	3-OH-Anthranilic acid	Tryptamine	Tryptophane	5-OH-Indole acetic acid	Indole-3-Sulfate	N-acetyl-serotonine	Xanthurenic acid	Indole-3-acetamide	Kynurenic acid	Indole-3-Lactic acid	Indole-3-Aldehyde	Indole-3-Acetic acid	Tryptophol	Melatonine	Indole-3-propionic acid	Indole	Acetic Acid	Propionic Acid	Butyric Acid	IsoButyric Acid	Valeric Acid	IsoValeric Acid	THCA	GHCA	TCA	GUDCA	CA-S	GCA	TUDCA	TCDCA	HCA	UDCA	TDCA	GCDCA	CA	GDCA	TLCA	LCA-S	CDCA	GLCA	DCA	LCA
Cosmic_51	plasma	2.72	92.79	1885.51	< LLOQ	3.48	0.72	106.19	3.47	6.81	4.03	< LLOQ	159.337	< LLOQ	< LLOQ	12.627	780.308	28.069	< LLOQ	41695.908	< LLOQ	832.218	< LLOQ	< LLOQ	< LLOQ	3.534	321.992	< LLOQ	255.257	< LLOQ	< LLOQ	< LLOQ	NA	181337	5675	10482	1040	843	468	< LLOQ	3.69	14.715	6.411	< LLOQ	34.408	< LLOQ	138.501	< LLOQ	< LLOQ	224.738	744.422	19.767	< LLOQ	< LLOQ	< LLOQ	39.786	< LLOQ	18.359	< LLOQ
Cosmic_56	plasma	5.96	53.78	3275.13	< LLOQ	4.7	1.98	143.7	8.27	13.59	7.49	< LLOQ	141.443	28.388	< LLOQ	21.246	639.393	78.099	< LLOQ	23742.503	10.744	2046.634	< LLOQ	4.702	3.782	14.535	489.57	< LLOQ	282.031	< LLOQ	< LLOQ	69.107	NA	758408	8158	13114	960	600	411	< LLOQ	13.051	46.143	633.933	< LLOQ	466.064	24.811	493.587	< LLOQ	20.329	67.236	> ULOQ	66.395	513.745	< LLOQ	14.051	526.92	21.14	150.651	< LLOQ
Cosmic_54	plasma	3.21	38.3	2574.76	< LLOQ	4.38	0.92	128.63	4.46	8.86	6.56	< LLOQ	458.066	61.542	< LLOQ	6.633	2169.334	59.457	< LLOQ	32334.045	12.423	1197.84	< LLOQ	< LLOQ	< LLOQ	9.212	440.363	< LLOQ	553.999	< LLOQ	< LLOQ	< LLOQ	NA	66609	16725	10841	728	1105	460	< LLOQ	< LLOQ	< LLOQ	< LLOQ	< LLOQ	11.366	< LLOQ	11.321	< LLOQ	< LLOQ	< LLOQ	126.761	23.229	< LLOQ	< LLOQ	< LLOQ	29.712	< LLOQ	< LLOQ	< LLOQ
Cosmic_60	plasma	3.21	71.98	2452.6	< LLOQ	5.29	1.17	140.59	6.76	10.69	5.52	9.222	405.705	48.508	< LLOQ	8.498	2207.639	68.88	< LLOQ	56100.636	25.754	9823.567	< LLOQ	15.029	2.765	18.444	1146.534	< LLOQ	2512.312	< LLOQ	< LLOQ	2098.399	NA	55559	23594	22464	1971	1557	943	< LLOQ	3.077	< LLOQ	21.625	< LLOQ	10.6	< LLOQ	24.715	< LLOQ	8.322	39.566	150.63	6.249	225.916	< LLOQ	< LLOQ	12.709	10.297	< LLOQ	< LLOQ
HD_1	plasma	2.71	41.27	3127.42	< LLOQ	3.23	0.94	106.02	3.13	9.01	5.83	11.178	318.775	24.043	< LLOQ	6.132	1613.389	94.573	< LLOQ	70967.858	18.124	1335.46	< LLOQ	16.228	< LLOQ	19.707	1212.275	< LLOQ	1115.507	< LLOQ	< LLOQ	1573.831	NA	127003	21196	13313	717	520	1340	< LLOQ	14.917	29.129	43.62	< LLOQ	183.215	< LLOQ	139.791	< LLOQ	< LLOQ	83.796	906.255	15.974	319.598	< LLOQ	3.172	23.999	34.24	53.044	< LLOQ
HD_2	plasma	5.14	57	8012.51	< LLOQ	4.63	1.65	121.08	7.05	12.22	12.95	7.701	254.011	54.634	< LLOQ	5.775	1112.839	63.902	< LLOQ	51460.097	15.269	6469.353	< LLOQ	24.28	2.064	21.13	1295.669	20.452	1172.694	< LLOQ	< LLOQ	978.661	NA	44824	17137	17192	1145	< LLOQ	1133	< LLOQ	3.307	< LLOQ	127.682	< LLOQ	55.266	< LLOQ	66.214	15.24	26.435	82.518	837.898	200.583	872.766	< LLOQ	11.863	428.408	62.156	1241.724	< LLOQ
HD_3	plasma	3.1	96.66	6943.06	< LLOQ	4.93	0.83	81.86	3.65	6.76	6.79	< LLOQ	287.043	31.388	38.101	5.912	1331.544	74.589	< LLOQ	54555.707	< LLOQ	897.673	< LLOQ	11.691	< LLOQ	10.202	751.732	< LLOQ	404.469	< LLOQ	< LLOQ	2402.633	NA	61864	13360	11027	483	498	558	< LLOQ	4.126	54.876	49.109	< LLOQ	277.601	< LLOQ	128.682	4.849	3.812	86.1	858.08	156.229	398.79	< LLOQ	16.874	154.719	19.536	284.712	< LLOQ
HD_4	plasma	2.83	95.71	2504.81	< LLOQ	4.57	0.8	107.56	4.32	7.06	5.25	< LLOQ	266.75	50.967	26.665	5.463	928.573	56.773	< LLOQ	53016.326	17.526	903.127	< LLOQ	5.668	< LLOQ	8.788	642.378	< LLOQ	743.636	< LLOQ	< LLOQ	387.631	NA	54044	< LLOQ	10881	654	< LLOQ	382	10.701	61.365	206.094	359.716	< LLOQ	1463.164	14.369	344.135	11.035	7.153	173.123	> ULOQ	251.374	1235.915	< LLOQ	< LLOQ	385.447	18.961	< LLOQ	< LLOQ
HD_5	plasma	5.06	69.34	10868.3	< LLOQ	5.82	1.21	96.53	4.45	9.02	9.53	< LLOQ	430.056	41.993	192.11	5.572	1398.853	90.499	< LLOQ	57056.133	16.501	2920.546	< LLOQ	17.745	< LLOQ	18.492	1192.833	< LLOQ	788.611	< LLOQ	< LLOQ	971.924	NA	64360	27738	12194	1451	549	864	< LLOQ	2.95	19.734	138.134	< LLOQ	169.956	< LLOQ	88.47	15.462	30.236	< LLOQ	847.966	1080.497	527.569	< LLOQ	40.263	1055.565	43.415	1065.106	< LLOQ
HD_6	plasma	3.79	119.96	4097.19	< LLOQ	4.79	1.28	116.63	3.14	6.25	5.92	21.902	154.538	66.392	71.489	4.135	959.113	110.516	< LLOQ	46337.071	10.434	1283.034	< LLOQ	20.474	2.2	11.582	570.505	< LLOQ	1115.98	< LLOQ	< LLOQ	106304.83	NA	77130	11216	17774	946	370	526	< LLOQ	29.489	< LLOQ	343.225	< LLOQ	103.829	4.707	144.652	10.849	15.984	53.431	1590.61	20.603	402.096	< LLOQ	3.235	459.711	4.527	139.386	< LLOQ
HD_7	plasma	3.58	170.26	3435.81	< LLOQ	5.64	0.8	113.79	7.47	9.71	7.95	10.156	223.843	29.84	1290.505	4.982	917.846	107.975	< LLOQ	51655.512	11.493	1719.576	< LLOQ	17.736	< LLOQ	20.023	676.427	< LLOQ	654.94	< LLOQ	< LLOQ	71076.36	NA	63455	25772	46172	1169	898	970	< LLOQ	11.379	36.938	142.11	< LLOQ	216.236	< LLOQ	119.624	3.174	12.47	175.416	1095.612	51.433	1059.477	< LLOQ	< LLOQ	484.778	78.743	711.554	< LLOQ
HD_8	plasma	3.54	86.32	2070.8	< LLOQ	6.58	0.79	134.01	7.15	9.74	4.89	< LLOQ	151.033	32.882	40.554	13.247	945.77	30.481	< LLOQ	46490.301	10.978	927.362	< LLOQ	< LLOQ	< LLOQ	4.637	374.288	< LLOQ	270.918	< LLOQ	< LLOQ	34.54	NA	183510	< LLOQ	4142	466	< LLOQ	409	< LLOQ	2.94	13.667	10.713	< LLOQ	49.61	< LLOQ	176.757	< LLOQ	< LLOQ	< LLOQ	906.433	22.709	7.781	< LLOQ	< LLOQ	43.984	< LLOQ	< LLOQ	< LLOQ
HD_9	plasma	1.67	210.6	2088.02	< LLOQ	2.95	0.65	128.54	3.37	6.57	4.5	14.966	211.184	57.242	< LLOQ	5.917	799.641	59.667	< LLOQ	67851.909	< LLOQ	5140.679	< LLOQ	10.244	1.847	8.084	773.188	15.687	609.487	< LLOQ	< LLOQ	1491.065	NA	158804	34163	47282	899	948	2157	< LLOQ	8.449	< LLOQ	53.86	< LLOQ	103.645	< LLOQ	44.747	< LLOQ	7.85	63.504	678.317	31.524	444.999	< LLOQ	15.086	104.701	96.928	737.835	< LLOQ
HD_10	plasma	4.71	120.88	4624.85	< LLOQ	3.93	1.07	148.79	5.82	11	10.27	< LLOQ	236.882	35.831	44.59	6.59	1531.803	67.254	< LLOQ	53943.143	12.664	2279.201	< LLOQ	10.854	< LLOQ	13.038	1153.957	13.662	838.357	< LLOQ	< LLOQ	4106.093	NA	75744	25441	16563	1096	941	1107	8.749	22.82	171.002	195.971	< LLOQ	1172.337	< LLOQ	661.879	3.972	2.881	304.51	> ULOQ	32.837	1251.641	< LLOQ	< LLOQ	55.572	172.938	< LLOQ	< LLOQ
HD_11	plasma	3.53	157.71	2040.2	< LLOQ	6.55	0.85	120.72	7.48	10.61	4.59	< LLOQ	181.408	< LLOQ	51.396	12.417	917.183	34.034	< LLOQ	46818.138	< LLOQ	798.811	< LLOQ	< LLOQ	< LLOQ	4.109	323.52	< LLOQ	258.113	< LLOQ	< LLOQ	< LLOQ	NA	184038	< LLOQ	4618	388	< LLOQ	388	< LLOQ	2.518	< LLOQ	8.879	< LLOQ	41.432	< LLOQ	185.127	< LLOQ	< LLOQ	296.672	880.576	21.593	< LLOQ	< LLOQ	< LLOQ	40.53	< LLOQ	< LLOQ	< LLOQ
