measure	type
PWY.7094..fatty.acid.salvage	pathway_relab
PWY.7209..superpathway.of.pyrimidine.ribonucleosides.degradation	pathway_relab
PWY.7196..superpathway.of.pyrimidine.ribonucleosides.salvage	pathway_relab
PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis	pathway_relab
DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	pathway_relab
PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II	pathway_relab
PWY.5897..superpathway.of.menaquinol.11.biosynthesis	pathway_relab
PWY.5898..superpathway.of.menaquinol.12.biosynthesis	pathway_relab
PWY.5899..superpathway.of.menaquinol.13.biosynthesis	pathway_relab
PWY.5840..superpathway.of.menaquinol.7.biosynthesis	pathway_relab
PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I	pathway_relab
PWY.5845..superpathway.of.menaquinol.9.biosynthesis	pathway_relab
PWY.5850..superpathway.of.menaquinol.6.biosynthesis	pathway_relab
PWY.5896..superpathway.of.menaquinol.10.biosynthesis	pathway_relab
P122.PWY..heterolactic.fermentation	pathway_relab
PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis.I	pathway_relab
PWY.5860..superpathway.of.demethylmenaquinol.6.biosynthesis.I	pathway_relab
PWY.5862..superpathway.of.demethylmenaquinol.9.biosynthesis	pathway_relab
PWY.5837..2.carboxy.1.4.naphthoquinol.biosynthesis	pathway_relab
P221.PWY..octane.oxidation	pathway_relab
PWY.6876..isopropanol.biosynthesis..engineered.	pathway_relab
PWY.7204..pyridoxal.5..phosphate.salvage.II..plants.	pathway_relab
PWY0.42..2.methylcitrate.cycle.I	pathway_relab
PWY.7434..terminal.O.glycans.residues.modification..via.type.2.precursor.disaccharide.	pathway_relab
ECASYN.PWY..enterobacterial.common.antigen.biosynthesis	pathway_relab
targeted_metabo__feces__DCA	targeted_metabo__feces
targeted_metabo__feces__GCA	targeted_metabo__feces
targeted_metabo__feces__GCDCA	targeted_metabo__feces
targeted_metabo__feces__Indole.3.Lactic.acid	targeted_metabo__feces
targeted_metabo__feces__Kynurenine	targeted_metabo__feces
targeted_metabo__feces__LCA	targeted_metabo__feces
targeted_metabo__feces__Valeric.Acid	targeted_metabo__feces
targeted_metabo__plasma__Butyric.Acid	targeted_metabo__plasma
targeted_metabo__plasma__CDCA	targeted_metabo__plasma
targeted_metabo__plasma__DCA	targeted_metabo__plasma
targeted_metabo__plasma__GCDCA	targeted_metabo__plasma
targeted_metabo__plasma__GDCA	targeted_metabo__plasma
targeted_metabo__plasma__GLCA	targeted_metabo__plasma
targeted_metabo__plasma__GUDCA	targeted_metabo__plasma
targeted_metabo__plasma__Indole.3.Acetic.acid	targeted_metabo__plasma
targeted_metabo__plasma__Indole.3.Lactic.acid	targeted_metabo__plasma
targeted_metabo__plasma__Indole.3.Sulfate	targeted_metabo__plasma
targeted_metabo__plasma__Indole.3.propionic.acid	targeted_metabo__plasma
targeted_metabo__plasma__Kynurenic.acid	targeted_metabo__plasma
targeted_metabo__plasma__Propionic.Acid	targeted_metabo__plasma
targeted_metabo__plasma__UDCA	targeted_metabo__plasma
targeted_metabo__plasma__Xanthurenic.acid	targeted_metabo__plasma
plasma_untarg_2-hydroxyphenylacetate	plasma_untarg_metabo
plasma_untarg_deoxycholate	plasma_untarg_metabo
plasma_untarg_guanidinoacetate	plasma_untarg_metabo
plasma_untarg_citrulline	plasma_untarg_metabo
plasma_untarg_proline	plasma_untarg_metabo
plasma_untarg_urea	plasma_untarg_metabo
plasma_untarg_glycerate	plasma_untarg_metabo
plasma_untarg_hippurate	plasma_untarg_metabo
plasma_untarg_indolelactate	plasma_untarg_metabo
plasma_untarg_3-indoxyl sulfate	plasma_untarg_metabo
plasma_untarg_isovalerate (C5)	plasma_untarg_metabo
plasma_untarg_1-methylguanidine	plasma_untarg_metabo
plasma_untarg_tartronate (hydroxymalonate)	plasma_untarg_metabo
plasma_untarg_oxalate (ethanedioate)	plasma_untarg_metabo
plasma_untarg_threonate	plasma_untarg_metabo
plasma_untarg_isobutyrylcarnitine (C4)	plasma_untarg_metabo
plasma_untarg_glycolithocholate	plasma_untarg_metabo
plasma_untarg_indolepropionate	plasma_untarg_metabo
plasma_untarg_propionylcarnitine (C3)	plasma_untarg_metabo
plasma_untarg_glycylleucine	plasma_untarg_metabo
plasma_untarg_p-cresol sulfate	plasma_untarg_metabo
plasma_untarg_phenylacetylglutamine	plasma_untarg_metabo
plasma_untarg_homostachydrine*	plasma_untarg_metabo
plasma_untarg_catechol sulfate	plasma_untarg_metabo
plasma_untarg_glycolithocholate sulfate*	plasma_untarg_metabo
plasma_untarg_taurolithocholate 3-sulfate	plasma_untarg_metabo
plasma_untarg_3-hydroxyhippurate	plasma_untarg_metabo
plasma_untarg_isoursodeoxycholate	plasma_untarg_metabo
plasma_untarg_4-hydroxy-2-oxoglutaric acid	plasma_untarg_metabo
plasma_untarg_glycoursodeoxycholate	plasma_untarg_metabo
plasma_untarg_2-O-methylascorbic acid	plasma_untarg_metabo
plasma_untarg_trimethylamine N-oxide	plasma_untarg_metabo
plasma_untarg_4-methylcatechol sulfate	plasma_untarg_metabo
plasma_untarg_3-methyl catechol sulfate (1)	plasma_untarg_metabo
plasma_untarg_guaiacol sulfate	plasma_untarg_metabo
plasma_untarg_2-piperidinone	plasma_untarg_metabo
plasma_untarg_2-aminophenol sulfate	plasma_untarg_metabo
plasma_untarg_N-formylphenylalanine	plasma_untarg_metabo
plasma_untarg_3-hydroxypyridine sulfate	plasma_untarg_metabo
plasma_untarg_4-methylguaiacol sulfate	plasma_untarg_metabo
plasma_untarg_p-cresol glucuronide*	plasma_untarg_metabo
plasma_untarg_acesulfame	plasma_untarg_metabo
plasma_untarg_6-hydroxyindole sulfate	plasma_untarg_metabo
plasma_untarg_1,2,3-benzenetriol sulfate (2)	plasma_untarg_metabo
plasma_untarg_adipoylcarnitine (C6-DC)	plasma_untarg_metabo
plasma_untarg_ascorbic acid 2-sulfate	plasma_untarg_metabo
plasma_untarg_glucuronide of C10H18O2 (8)*	plasma_untarg_metabo
plasma_untarg_glycine conjugate of C10H14O2 (1)*	plasma_untarg_metabo
plasma_untarg_ascorbic acid 3-sulfate*	plasma_untarg_metabo
plasma_untarg_4-ethylcatechol sulfate	plasma_untarg_metabo
plasma_untarg_4-allylcatechol sulfate	plasma_untarg_metabo
feces_untarg_alpha-ketoglutarate	feces_untarg_metabo
feces_untarg_5,6-dihydrothymine	feces_untarg_metabo
feces_untarg_hypoxanthine	feces_untarg_metabo
feces_untarg_3-(4-hydroxyphenyl)lactate (HPLA)	feces_untarg_metabo
feces_untarg_creatinine	feces_untarg_metabo
feces_untarg_deoxycholate	feces_untarg_metabo
feces_untarg_sphinganine	feces_untarg_metabo
feces_untarg_glycocholate	feces_untarg_metabo
feces_untarg_guanidinoacetate	feces_untarg_metabo
feces_untarg_proline	feces_untarg_metabo
feces_untarg_2'-deoxyuridine	feces_untarg_metabo
feces_untarg_betaine	feces_untarg_metabo
feces_untarg_heptanoate (7:0)	feces_untarg_metabo
feces_untarg_caproate (6:0)	feces_untarg_metabo
feces_untarg_xanthine	feces_untarg_metabo
feces_untarg_bilirubin	feces_untarg_metabo
feces_untarg_urate	feces_untarg_metabo
feces_untarg_N-acetylglucosaminylasparagine	feces_untarg_metabo
feces_untarg_creatine	feces_untarg_metabo
feces_untarg_glycerol	feces_untarg_metabo
feces_untarg_glycochenodeoxycholate	feces_untarg_metabo
feces_untarg_ethylmalonate	feces_untarg_metabo
feces_untarg_3-phenylpropionate (hydrocinnamate)	feces_untarg_metabo
feces_untarg_methionine sulfoxide	feces_untarg_metabo
feces_untarg_glucuronate	feces_untarg_metabo
feces_untarg_indolelactate	feces_untarg_metabo
feces_untarg_1-stearoyl-GPI (18:0)	feces_untarg_metabo
feces_untarg_alpha-hydroxyisocaproate	feces_untarg_metabo
feces_untarg_phenyllactate (PLA)	feces_untarg_metabo
feces_untarg_palmitoylcarnitine (C16)	feces_untarg_metabo
feces_untarg_N-acetylaspartate (NAA)	feces_untarg_metabo
feces_untarg_erythritol	feces_untarg_metabo
feces_untarg_adipate	feces_untarg_metabo
feces_untarg_5-hydroxyhexanoate	feces_untarg_metabo
feces_untarg_prolylhydroxyproline	feces_untarg_metabo
feces_untarg_sebacate (C10-DC)	feces_untarg_metabo
feces_untarg_decanoylcarnitine (C10)	feces_untarg_metabo
feces_untarg_1-palmitoyl-GPC (16:0)	feces_untarg_metabo
feces_untarg_myristoylcarnitine (C14)	feces_untarg_metabo
feces_untarg_1-stearoyl-GPC (18:0)	feces_untarg_metabo
feces_untarg_p-cresol sulfate	feces_untarg_metabo
feces_untarg_laurylcarnitine (C12)	feces_untarg_metabo
feces_untarg_7-methylxanthine	feces_untarg_metabo
feces_untarg_7-methylguanine	feces_untarg_metabo
feces_untarg_oleoylcarnitine (C18:1)	feces_untarg_metabo
feces_untarg_2-methylbutyrylcarnitine (C5)	feces_untarg_metabo
feces_untarg_phenol sulfate	feces_untarg_metabo
feces_untarg_2-hydroxy-3-methylvalerate	feces_untarg_metabo
feces_untarg_2-palmitoyl-GPC (16:0)*	feces_untarg_metabo
feces_untarg_gulonate*	feces_untarg_metabo
feces_untarg_hexadecanedioate (C16)	feces_untarg_metabo
feces_untarg_undecanedioate (C11-DC)	feces_untarg_metabo
feces_untarg_dimethylarginine (ADMA + SDMA)	feces_untarg_metabo
feces_untarg_N-methylproline	feces_untarg_metabo
feces_untarg_5alpha-pregnan-3beta,20alpha-diol disulfate	feces_untarg_metabo
feces_untarg_glycocholenate sulfate*	feces_untarg_metabo
feces_untarg_21-hydroxypregnenolone disulfate	feces_untarg_metabo
feces_untarg_phenylalanylphenylalanine	feces_untarg_metabo
feces_untarg_(12 or 13)-methylmyristate (a15:0 or i15:0)	feces_untarg_metabo
feces_untarg_1-methyl-5-imidazoleacetate	feces_untarg_metabo
feces_untarg_linoleoylcarnitine (C18:2)*	feces_untarg_metabo
feces_untarg_isoleucylalanine	feces_untarg_metabo
feces_untarg_2-O-methylascorbic acid	feces_untarg_metabo
feces_untarg_indolin-2-one	feces_untarg_metabo
feces_untarg_N-acetylglucosamine/N-acetylgalactosamine	feces_untarg_metabo
feces_untarg_adipoylcarnitine (C6-DC)	feces_untarg_metabo
feces_untarg_glycochenodeoxycholate 3-sulfate	feces_untarg_metabo
feces_untarg_2-hydroxylaurate	feces_untarg_metabo
feces_untarg_isoleucylleucine/leucylisoleucine	feces_untarg_metabo
feces_untarg_lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)	feces_untarg_metabo
feces_untarg_(S)-3-hydroxybutyrylcarnitine	feces_untarg_metabo
B.cells__PS.ATP	SCENITH_measure
Mono.classical__PS.ATP	SCENITH_measure
Mono.intermediate__PS.ATP	SCENITH_measure
CD4.Effector.memory__PS.ATP	SCENITH_measure
CD4.central.memory__PS.ATP	SCENITH_measure
CD4.naive__PS.ATP	SCENITH_measure
CD8.central.memory__PS.ATP	SCENITH_measure
CD8.EMRA__PS.ATP	SCENITH_measure
Mono.classical__Mitochondrial.dependence	SCENITH_measure
Mono.intermediate__Mitochondrial.dependence	SCENITH_measure
CD4.naive__Mitochondrial.dependence	SCENITH_measure
CD8.naive__Mitochondrial.dependence	SCENITH_measure
Mono.classical__Glucose.dependence	SCENITH_measure
Mono.intermediate__Glucose.dependence	SCENITH_measure
CD4.naive__Glucose.dependence	SCENITH_measure
