measure	type
PWY.6317..D.galactose.degradation.I..Leloir.pathway.	pathway_relab
PWY.5695..inosine.5..phosphate.degradation	pathway_relab
PWY.7977..L.methionine.biosynthesis.IV	pathway_relab
PWY.6124..inosine.5..phosphate.biosynthesis.II	pathway_relab
PWY.8178..pentose.phosphate.pathway..non.oxidative.branch..II	pathway_relab
PWY.7357..thiamine.phosphate.formation.from.pyrithiamine.and.oxythiamine..yeast.	pathway_relab
PWY.6629..superpathway.of.L.tryptophan.biosynthesis	pathway_relab
PWY.5103..L.isoleucine.biosynthesis.III	pathway_relab
PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II	pathway_relab
PWY.6270..isoprene.biosynthesis.I	pathway_relab
PWY.7560..methylerythritol.phosphate.pathway.II	pathway_relab
RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants.	pathway_relab
PWY.2942..L.lysine.biosynthesis.III	pathway_relab
PWY.6527..stachyose.degradation	pathway_relab
PWY.7199..pyrimidine.deoxyribonucleosides.salvage	pathway_relab
X1CMET2.PWY..folate.transformations.III..E..coli.	pathway_relab
NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..I	pathway_relab
PANTOSYN.PWY..superpathway.of.coenzyme.A.biosynthesis.I..bacteria.	pathway_relab
HSERMETANA.PWY..L.methionine.biosynthesis.III	pathway_relab
PWY.6823..molybdopterin.biosynthesis	pathway_relab
PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	pathway_relab
GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation	pathway_relab
COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I	pathway_relab
PANTO.PWY..phosphopantothenate.biosynthesis.I	pathway_relab
THRESYN.PWY..superpathway.of.L.threonine.biosynthesis	pathway_relab
OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli.	pathway_relab
TRPSYN.PWY..L.tryptophan.biosynthesis	pathway_relab
PWY.7237..myo...chiro..and.scyllo.inositol.degradation	pathway_relab
SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I	pathway_relab
PWY.6628..superpathway.of.L.phenylalanine.biosynthesis	pathway_relab
PWY.6892..thiazole.component.of.thiamine.diphosphate.biosynthesis.I	pathway_relab
PWY.6897..thiamine.diphosphate.salvage.II	pathway_relab
THISYNARA.PWY..superpathway.of.thiamine.diphosphate.biosynthesis.III..eukaryotes.	pathway_relab
P41.PWY..pyruvate.fermentation.to.acetate.and..S..lactate.I	pathway_relab
PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II	pathway_relab
PWY.5659..GDP.mannose.biosynthesis	pathway_relab
UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I	pathway_relab
