measure1	measure2	rho	p	type1	type2	Padj
plasma_untarg_taurolithocholate 3-sulfate	Mono.classical__Mitochondrial.dependence	-0.6181818181818182	0.00216737450916177	plasma_untarg_metabo	SCENITH_measure	0.041852749142434184
plasma_untarg_3-hydroxyhippurate	Mono.intermediate__PS.ATP	0.5545454545454546	0.00739776009815365	plasma_untarg_metabo	SCENITH_measure	0.08584344915324316
plasma_untarg_isoursodeoxycholate	Mono.classical__PS.ATP	0.6636363636363637	7.591516567813911e-4	plasma_untarg_metabo	SCENITH_measure	0.026871217720712073
plasma_untarg_isoursodeoxycholate	CD4.central.memory__PS.ATP	-0.6181818181818182	0.00216737450916177	plasma_untarg_metabo	SCENITH_measure	0.041852749142434184
plasma_untarg_isoursodeoxycholate	Mono.classical__Glucose.dependence	0.5877008413758849	0.00402459057173196	plasma_untarg_metabo	SCENITH_measure	0.062398501470165034
plasma_untarg_4-hydroxy-2-oxoglutaric acid	CD4.central.memory__PS.ATP	-0.601368302803231	0.00307237568896584	plasma_untarg_metabo	SCENITH_measure	0.0537665745569022
plasma_untarg_glycoursodeoxycholate	Mono.intermediate__PS.ATP	0.5818181818181818	0.00450442914308506	plasma_untarg_metabo	SCENITH_measure	0.06413085559646527
plasma_untarg_glycoursodeoxycholate	Mono.classical__Mitochondrial.dependence	-0.5545454545454546	0.00739776009815365	plasma_untarg_metabo	SCENITH_measure	0.08584344915324316
plasma_untarg_glycoursodeoxycholate	Mono.intermediate__Mitochondrial.dependence	0.5981797521201623	0.00327558259862492	plasma_untarg_metabo	SCENITH_measure	0.05448493827415709
plasma_untarg_glycoursodeoxycholate	Mono.intermediate__Glucose.dependence	-0.6621073592169735	7.886187389144062e-4	plasma_untarg_metabo	SCENITH_measure	0.026871217720712073
plasma_untarg_2-O-methylascorbic acid	Mono.intermediate__PS.ATP	0.5545454545454546	0.00739776009815365	plasma_untarg_metabo	SCENITH_measure	0.08584344915324316
plasma_untarg_2-O-methylascorbic acid	CD4.naive__Mitochondrial.dependence	0.6238794669049377	0.00191708776787409	plasma_untarg_metabo	SCENITH_measure	0.04014170586233144
plasma_untarg_4-methylcatechol sulfate	Mono.classical__PS.ATP	-0.6454545454545454	0.0011782917877984	plasma_untarg_metabo	SCENITH_measure	0.03093015942970826
plasma_untarg_guaiacol sulfate	Mono.classical__PS.ATP	0.5545454545454546	0.00739776009815365	plasma_untarg_metabo	SCENITH_measure	0.08584344915324316
plasma_untarg_guaiacol sulfate	Mono.intermediate__PS.ATP	0.6818181818181819	4.746531516962566e-4	plasma_untarg_metabo	SCENITH_measure	0.02215048041249197
plasma_untarg_2-piperidinone	CD4.central.memory__PS.ATP	0.7	2.8701473783214004e-4	plasma_untarg_metabo	SCENITH_measure	0.01785869479844427
plasma_untarg_2-piperidinone	Mono.classical__Glucose.dependence	-0.697040532794654	3.122658917141641e-4	plasma_untarg_metabo	SCENITH_measure	0.018089886140682607
plasma_untarg_N-formylphenylalanine	Mono.classical__PS.ATP	0.9363636363636364	1.5091809899829942e-10	plasma_untarg_metabo	SCENITH_measure	2.5354240631714303e-7
plasma_untarg_N-formylphenylalanine	Mono.intermediate__PS.ATP	0.7818181818181817	1.729377685671341e-5	plasma_untarg_metabo	SCENITH_measure	0.004660493030825975
plasma_untarg_3-hydroxypyridine sulfate	CD4.central.memory__PS.ATP	0.6272727272727272	0.00177998668712558	plasma_untarg_metabo	SCENITH_measure	0.03934707413646019
