bodysite	metabolites	restored	type_restoration	FMT_effect	chem_name	SUPER_PATHWAY	SUB_PATHWAY
feces	100002009	NS	normal	NS	feces_untarg_5alpha-pregnan-3beta,20beta-diol monosulfate (1)	Lipid	Progestin Steroids
feces	100002014	NS	normal	NS	feces_untarg_5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	Lipid	Progestin Steroids
feces	100002015	depleted	normal	depleted normal	feces_untarg_5alpha-pregnan-diol disulfate	Lipid	Progestin Steroids
feces	100002017	NS	normal	NS	feces_untarg_5alpha-androstan-3alpha,17beta-diol disulfate	Lipid	Androgenic Steroids
feces	100002018	NS	normal	NS	feces_untarg_5alpha-androstan-3alpha,17beta-diol monosulfate (1)	Lipid	Androgenic Steroids
feces	100002021	NS	normal	NS	feces_untarg_5alpha-androstan-3beta,17alpha-diol disulfate	Lipid	Androgenic Steroids
feces	100002024	NS	normal	NS	feces_untarg_5alpha-androstan-3beta,17beta-diol monosulfate (2)	Lipid	Androgenic Steroids
feces	100002026	restored	normal	restored normal	feces_untarg_androstenediol (3alpha, 17alpha) monosulfate (2)	Lipid	Androgenic Steroids
feces	100002028	NS	normal	NS	feces_untarg_androstenediol (3beta,17beta) monosulfate (1)	Lipid	Androgenic Steroids
feces	100002029	NS	normal	NS	feces_untarg_androstenediol (3beta,17beta) monosulfate (2)	Lipid	Androgenic Steroids
feces	100002067	NS	normal	NS	feces_untarg_pregnenediol sulfate (C21H34O5S)*	Lipid	Pregnenolone Steroids
feces	100002070	NS	normal	NS	feces_untarg_2-hydroxyglutarate	Lipid	Fatty Acid, Dicarboxylate
feces	100002094	NS	normal	NS	feces_untarg_gamma-CEHC	Cofactors and Vitamins	Tocopherol Metabolism
feces	100002102	NS	normal	NS	feces_untarg_N-acetyl-beta-alanine	Nucleotide	Pyrimidine Metabolism, Uracil containing
feces	100002107	NS	normal	NS	feces_untarg_palmitoyl sphingomyelin (d18:1/16:0)	Lipid	Sphingomyelins
feces	100002113	NS	normal	NS	feces_untarg_cysteine sulfinic acid	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism
feces	100002122	NS	normal	NS	feces_untarg_3-hydroxyhippurate	Xenobiotics	Benzoate Metabolism
feces	100002126	NS	normal	NS	feces_untarg_16alpha-hydroxy DHEA 3-sulfate	Lipid	Androgenic Steroids
feces	100002129	NS	normal	NS	feces_untarg_pregnenolone sulfate	Lipid	Pregnenolone Steroids
feces	100002171	NS	over	NS	feces_untarg_1-margaroyl-GPE (17:0)*	Lipid	Lysophospholipid
feces	100002196	NS	normal	NS	feces_untarg_13-HODE + 9-HODE	Lipid	Fatty Acid, Monohydroxy
feces	100002254	NS	normal	NS	feces_untarg_stearoyl ethanolamide (18:0)	Lipid	Endocannabinoid
feces	100002284	NS	normal	NS	feces_untarg_2S,3R-dihydroxybutyrate	Lipid	Fatty Acid, Dihydroxy
feces	100002293	restored	over	restored over	feces_untarg_phenylalanylphenylalanine	Peptide	Dipeptide
feces	100002344	restored	over	restored over	feces_untarg_(12 or 13)-methylmyristate (a15:0 or i15:0)	Lipid	Fatty Acid, Branched
feces	100002356	NS	normal	NS	feces_untarg_(16 or 17)-methylstearate (a19:0 or i19:0)	Lipid	Fatty Acid, Branched
feces	100002367	NS	normal	NS	feces_untarg_2R,3R-dihydroxybutyrate	Lipid	Fatty Acid, Dihydroxy
feces	100002417	NS	normal	NS	feces_untarg_2,3-dihydroxyisovalerate	Xenobiotics	Food Component/Plant
feces	100002458	NS	normal	NS	feces_untarg_3-methylglutaconate	Amino Acid	Leucine, Isoleucine and Valine Metabolism
feces	100002488	NS	normal	NS	feces_untarg_isoursodeoxycholate	Lipid	Secondary Bile Acid Metabolism
feces	100002500	NS	normal	NS	feces_untarg_formiminoglutamate	Amino Acid	Histidine Metabolism
feces	100002514	NS	normal	NS	feces_untarg_hydantoin-5-propionate	Amino Acid	Histidine Metabolism
feces	100002528	NS	normal	NS	feces_untarg_sulfate*	Xenobiotics	Chemical
feces	100002749	NS	normal	NS	feces_untarg_S-methylcysteine	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism
feces	100002769	NS	normal	NS	feces_untarg_argininate*	Amino Acid	Urea cycle; Arginine and Proline Metabolism
feces	100002784	NS	normal	NS	feces_untarg_2-oxoarginine*	Amino Acid	Urea cycle; Arginine and Proline Metabolism
feces	100002796	NS	normal	NS	feces_untarg_cis-4-decenoate (10:1n6)*	Lipid	Medium Chain Fatty Acid
feces	100002802	NS	normal	NS	feces_untarg_atorvastatin	Xenobiotics	Drug - Metabolic
feces	100002806	NS	normal	NS	feces_untarg_gabapentin	Xenobiotics	Drug - Neurological
feces	100002849	NS	normal	NS	feces_untarg_ethyl glucuronide	Xenobiotics	Chemical
feces	100002910	restored	normal	restored normal	feces_untarg_1-methyl-5-imidazoleacetate	Amino Acid	Histidine Metabolism
feces	100002911	NS	normal	NS	feces_untarg_glycoursodeoxycholate	Lipid	Secondary Bile Acid Metabolism
feces	100002912	NS	over	NS	feces_untarg_tauroursodeoxycholate	Lipid	Secondary Bile Acid Metabolism
feces	100002927	NS	normal	NS	feces_untarg_S-methylcysteine sulfoxide	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism
feces	100002945	NS	normal	NS	feces_untarg_(14 or 15)-methylpalmitate (a17:0 or i17:0)	Lipid	Fatty Acid, Branched
feces	100002990	NS	normal	NS	feces_untarg_oleoyl-linoleoyl-glycerol (18:1/18:2) [2]	Lipid	Diacylglycerol
feces	100003000	NS	over	NS	feces_untarg_1-(1-enyl-palmitoyl)-GPE (P-16:0)*	Lipid	Lysoplasmalogen
feces	100003001	NS	normal	NS	feces_untarg_1-(1-enyl-stearoyl)-GPE (P-18:0)*	Lipid	Lysoplasmalogen
feces	100003008	depleted	normal	depleted normal	feces_untarg_2-stearoyl-GPI (18:0)*	Lipid	Lysophospholipid
feces	100003119	NS	normal	NS	feces_untarg_N-oleoyltaurine	Lipid	Endocannabinoid
feces	100003151	depleted	normal	depleted normal	feces_untarg_linoleoylcarnitine (C18:2)*	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)
feces	100003163	restored	over	restored over	feces_untarg_isoleucylalanine	Peptide	Dipeptide
feces	100003169	NS	normal	NS	feces_untarg_isoleucylglycine	Peptide	Dipeptide
feces	100003185	NS	normal	NS	feces_untarg_leucylglycine	Peptide	Dipeptide
feces	100003240	NS	normal	NS	feces_untarg_N-stearoyltaurine	Lipid	Endocannabinoid
feces	100003258	depleted	normal	depleted normal	feces_untarg_2-O-methylascorbic acid	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism
feces	100003271	NS	normal	NS	feces_untarg_beta-citrylglutamate	Amino Acid	Glutamate Metabolism
feces	100003397	NS	normal	NS	feces_untarg_trimethylamine N-oxide	Lipid	Phospholipid Metabolism
feces	100003415	NS	normal	NS	feces_untarg_N6-methyllysine	Amino Acid	Lysine Metabolism
feces	100003425	NS	normal	NS	feces_untarg_cis-urocanate	Amino Acid	Histidine Metabolism
feces	100003432	NS	normal	NS	feces_untarg_dihydroferulate	Xenobiotics	Food Component/Plant
feces	100003434	NS	normal	NS	feces_untarg_imidazole propionate	Amino Acid	Histidine Metabolism
feces	100003444	NS	normal	NS	feces_untarg_citalopram/escitalopram	Xenobiotics	Drug - Psychoactive
