"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"PWY.1042..glycolysis.IV"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.905274900325915	0.102756236751059	1.23734356094474e-11	3.72970701941914e-10	1.23734356094474e-11	2.70195430655279e-10	"abundance"	30	30
"X1CMET2.PWY..folate.transformations.III..E..coli."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.96316274593981	0.11041894300424	1.22040155758896e-11	3.72970701941914e-10	1.22040155758896e-11	2.70195430655279e-10	"abundance"	30	30
"PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.838752120186174	0.0924043333650089	1.37813094269745e-11	4.07099880472828e-10	1.37813094269745e-11	2.94920021737255e-10	"abundance"	30	30
"PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.03239676899674	0.126181104779598	1.51361145839246e-11	4.34509001428624e-10	1.51361145839246e-11	3.14776324663932e-10	"abundance"	30	30
"SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.900544748245998	0.106096733494285	1.52975410117051e-11	4.34509001428624e-10	1.52975410117051e-11	3.14776324663932e-10	"abundance"	30	30
"RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants."	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.18288713466572	0.153288794651141	2.16375806161295e-11	6.02994463585346e-10	2.16375806161295e-11	4.36834174702992e-10	"abundance"	30	30
"PWY.5097..L.lysine.biosynthesis.VI"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.909366554613659	0.114613309068017	2.47175613310446e-11	6.76071075665795e-10	2.47175613310446e-11	4.89773900448477e-10	"abundance"	30	30
"PWY.6124..inosine.5..phosphate.biosynthesis.II"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.22102243579816	0.161825609149329	2.80122591789222e-11	7.52256487404876e-10	2.80122591789222e-11	5.44965769480851e-10	"abundance"	30	30
"PWY.6527..stachyose.degradation"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.00936755972315	0.13668179063946	3.4132252579866e-11	9.00238161793965e-10	3.4132252579866e-11	6.52169826079582e-10	"abundance"	30	30
"PANTO.PWY..phosphopantothenate.biosynthesis.I"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.774614046637166	0.101415225153277	4.33533209331927e-11	1.12338342137413e-09	4.33533209331927e-11	8.13825498219582e-10	"abundance"	30	30
"CALVIN.PWY..Calvin.Benson.Bassham.cycle"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.600195663188802	0.0694450801161003	5.70341551764386e-11	1.4524042619931e-09	5.70341551764386e-11	1.05218182825499e-09	"abundance"	30	30
"COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.874273477765322	0.124384961976464	6.25810514520708e-11	1.56664767787642e-09	6.25810514520708e-11	1.13494449243586e-09	"abundance"	30	30
"PWY66.399..gluconeogenesis.III"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-2.54085266976323	0.259916827304319	7.33996197155307e-11	1.80685397199731e-09	1.46799239425674e-10	2.53347074492695e-09	"abundance"	30	23
"TRPSYN.PWY..L.tryptophan.biosynthesis"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-1.02361071998129	0.156580167218571	1.10529807528792e-10	2.67627091344304e-09	1.10529807528792e-10	1.97111490093012e-09	"abundance"	30	30
"PWY.7199..pyrimidine.deoxyribonucleosides.salvage"	"group_FMT"	"before_FMT"	"group_FMTbefore_FMT"	-0.994699358955663	0.152326612563399	1.1583800585413e-10	2.75956023623467e-09	1.1583800585413e-10	2.03191256170359e-09	"abundance"	30	30
